Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
-1890,,,,,Hudson, Cerro,Chile-S,Chile,1905,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,-45.9,-72.97
-455,,,,,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-677,-78436,
240,,,,,Ksudach,Kamchatka,Russia,1079,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,51.8,157.53,
1362,6,5,,,Oraefajokull,Iceland-SE,Iceland,2119,Stratovolcano,Historical,5,220,Many (~101 to 1000 deaths),,,,,,,,,220,Many (~101 to 1000 deaths),,,,,,,,,64.0,-16.65,
1385,,,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-7.93,112308,
1630,9,3,,,Furnas,Azores,Portugal,805,Stratovolcano,Historical,4,200,Many (~101 to 1000 deaths),,,,,,,,,200,Many (~101 to 1000 deaths),,,,,,,,,37.77,-25.32,
1669,3,11,,Earthquake,Etna,Italy,Italy,3350,Stratovolcano,Historical,3,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,37734,15004,
1670,,,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,2,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-15.4,167.83,
1690,,,,,Guntur,Java,Indonesia,2249,Complex volcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-7.13,107.83,
1766,7,20,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,3,49,Few (~1 to 50 deaths),,,,,,,,,49,Few (~1 to 50 deaths),,,,,,,,,13257,123685,
1780,7,27,,,Aoga-shima,Izu Is-Japan,Japan,423,Stratovolcano,Historical,3,7,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 houses),7,Few (~1 to 50 deaths),,,,,,,,Few (~1 to 50 houses),32.45,139.77,
1784,4,,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,4,,,,,,,,,,,9350,Very Many (~1001 or more deaths),,,,,,,,,64.42,-17.33,
